Exchange,UAH,USD,delta,date
25.19,9999.95,0,0.5,Tue May 10 20:33:01 2022
Exchange,UAH,USD,delta,date
25.47,9999.95,0,0.5,Tue May 10 20:33:03 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:33:04 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:44:16 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:46:09 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:47:06 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:50:35 2022
Exchange,UAH,USD,delta,date
25.28,9999.95,0,0.5,Tue May 10 20:51:45 2022
Exchange,UAH,USD,delta,date
25.28,7471.95,100.0,0.5,Tue May 10 20:51:58 2022
Exchange,UAH,USD,delta,date
25.28,7471.95,100.0,0.5,Tue May 10 20:52:04 2022
